pl_radius,pl_mass,star_temp,star_radius,pl_mass_log,pl_radius_log
10.73820351,80.8,4080.0,1.45,4.404277243608702,2.4628487796924405
12.32987877,238.68913366,5600.0,0.954,5.479342807329743,2.590008039625631
13.3,731.0,4892.63,8.9,6.595780513961311,2.6602595372658615
12.0,7668.5638041,4140.0,83.8,8.945015022352985,2.5649493574615367
2.64976949,7.51,6404.0,1.142,2.1412419425852827,1.294664012175481
1.83470985,4.02,6000.0,1.13152,1.6134299337036377,1.0419395862630267
11.39953337,206.58846455,5966.0,2.9,5.335557583996455,2.5176588404512974
1.63,3.29,4629.0,0.67,1.4562867329399256,0.9669838461896731
3.7761677026412404,447.0,5565.0,1.156,6.104793232414985,1.5636384890921824
13.6,120.77479466,5255.914132507477,1.0014813828677545,4.80217339346659,2.681021528714291
3.01,9.32,5731.0,1.063,2.334083760053417,1.3887912413184778
3.54,12.3,5884.0,1.12,2.5877640352277083,1.5129270120532565
1.48,2.79,5171.0,0.8,1.332366019094335,0.9082585601768908
14.12334,209.13214,5599.0,1.75,5.3477365709254245,2.7162392458275906
0.82,5.0,6104.0,1.23,1.791759469228055,0.598836501088704
9.32,63.5656814,5255.914132507477,1.0014813828677545,4.167683021948493,2.334083760053417
0.76,0.363,5564.0,0.99,0.30968815271439554,0.5653138090500605
9.65837605,67.5,5616.0,1.674,4.22683374526818,2.3663460666073735
2.08215108,4.99,5791.0,1.083,1.790091412127358,1.1256277558132846
2.64809498,7.5,5185.0,0.803827,2.1400661634962708,1.29420510805736
2.268,9.2,4174.0,0.62,2.322387720290225,1.1841781769977564
2.67,7.62788177,5771.84,1.01906,2.154999025373217,1.3001916620664788
11.6,91.79,6500.0,1.78,4.530338875365088,2.533696813957432
2.25,5.69,5986.0,0.9,1.900613874140137,1.1786549963416462
1.96,4.5,5479.0,0.85,1.7047480922384253,1.085189268335969
2.58606487,10.0,5597.0,0.9882,2.3978952727983707,1.2770554648129648
1.97,4.54,6088.0,1.005,1.7119945007591926,1.0885619528146082
14.90797,181.1631,6000.0,1.65,5.204902439616828,2.7668202415000653
1.415,2.59,3558.0,0.374,1.2781522025001875,0.881699287104536
14.2,162.09248757,5255.914132507477,1.0014813828677545,5.094317448296389,2.7212954278522306
13.80946422,179.25522155,5697.0,0.884,5.194373744122737,2.6952664507178126
1.44,5.6,5933.0,1.026,1.8870696490323797,0.8919980393051105
9.07927437,54.03082919,5255.0,0.82,4.007893558921076,2.310481272948852
6.07,30.7,5836.0,1.38,3.456316680883235,1.9558604799084813
2.6,7.27,3459.0,0.421,2.1126345090356,1.2809338454620645
3.63524486,12.8,5170.87,0.947112,2.624668592163159,1.533689026101408
1.732,5.79,3664.0,0.539,1.9154509415706047,1.0050339417085437
12.8,1875.1876013,5255.914132507477,1.0014813828677545,7.536997125259398,2.624668592163159
1.59,3.15,3519.0,0.33,1.423108334242607,0.9516578757114464
7.43,43.22466335,5796.02,0.92,3.7892826278065876,2.131796772013764
2.48,6.71,5551.0,1.301,2.0425181875752383,1.247032293786383
2.13,5.18,6169.0,1.352,1.8213182714695995,1.1410330045520618
1.22,1.98,6004.0,1.12,1.091923300517313,0.7975071958841881
13.6,451.0,4962.0,0.75,6.113682179832232,2.681021528714291
13.7,400.46379282,5025.4,4.17,5.995117349544535,2.6878474937846906
10.36830715,105.83685953,5607.0,1.75,4.671302993668973,2.430829409254569
1.57,6.8,6004.0,1.12,2.0541237336955462,0.9439058989071285
7.31,18.1,5720.0,1.035,2.9496883350525844,2.1174596088673567
8.709393,425.25654,5846.0,1.091,6.055041371588526,2.273093767475896
1.3,2.24,4421.98,0.634754,1.1755733298042381,0.832909122935104
2.22686612,5.59,4572.94,0.68988,1.8855533485144158,1.171511424759553
4.64,19.4,5541.0,0.91,3.0155349008501706,1.7298840655099674
4.15,16.1,5796.0,1.037,2.8390784635086144,1.6389967146756448
1.79,3.86,5108.0,0.78,1.5810384379124023,1.0260415958332743
2.35,6.12,3717.0,0.49,1.9629077254238845,1.208960345836975
13.0,1179.1493,6272.0,1.529,7.073396234879773,2.639057329615259
3.2732,10.7,5134.0,0.7625,2.4595888418037104,1.4523629610895954
2.29,5.86,5813.0,1.05,1.925707441737794,1.1908875647772805
3.51,10.84,4781.0,0.76,2.4714836294558595,1.5062971535145868
3.58,12.49,5255.914132507477,1.0014813828677545,2.6019486702196644,1.5216989981260935
7.04,19.02,5636.0,0.936,2.9967317738870745,2.084429083190875
2.79,8.2,5752.0,1.003,2.2192034840549946,1.332366019094335
1.96,4.5,4465.0,0.582,1.7047480922384253,1.085189268335969
2.19,6.37,3342.0,0.34,1.9974177062012453,1.1600209167967532
12.6,2548.98382414,5951.0,1.06,7.843842294657842,2.6100697927420065
12.3,4068.2036096,6123.0,1.24,8.311202585973167,2.5877640352277083
1.2,1.87,5602.0,0.904,1.0543120297715298,0.7884573603642702
2.7,7.75,5747.0,1.24,2.169053700369523,1.308332819650179
1.41,2.57,5863.0,1.29,1.2725655957915476,0.8796267475025636
16.58932,419.5356,6570.0,1.62,6.04152913694717,2.8672918996736185
2.74,7.95,5688.0,0.97,2.191653532286764,1.3190856114264407
1.129,1.321,2566.0,0.1192,0.8419981272923,0.7556523859113424
14.01125,311.4734,5900.0,1.5,5.7445193455535435,2.708799919992756
2.25,5.69,6139.0,1.29,1.900613874140137,1.1786549963416462
1.251,1.55,3307.0,0.326,0.9360933591703348,0.8113745619245951
2.29,5.86,3762.0,0.53,1.925707441737794,1.1908875647772805
2.19,5.43,4667.0,0.69,1.860974538249528,1.1600209167967532
1.48912557,2.82,5190.0,0.899,1.3402504226184837,0.9119314720928091
11.60129502,3651.84839643,5790.0,1.021,8.203262524819934,2.5337995880410746
1.92,4.35,4141.0,0.602,1.6770965609079151,1.0715836162801904
1.88971288,4.23,5530.0,0.788,1.6544112780768316,1.0611571477078854
2.45,6.57,5532.0,0.947,2.0241930674493576,1.2383742310432684
3.77,13.63483866,5885.38,1.389372,2.6834048958261634,1.5623463049002497
11.960003,177.9848,5080.0,0.847,5.187300886034053,2.5618679224055834
2.69,7.7,6282.0,1.107,2.1633230256605382,1.3056264580524357
1.13,1.527,3437.0,0.483,0.9270328284060572,0.7561219797213337
3.7761677026412404,1366.6621501,5773.0,1.33,7.220858101380127,1.5636384890921824
2.84,8.45,5343.0,0.84,2.2460147415056513,1.3454723665996355
9.55,66.2,6511.0,1.41,4.207673247529104,2.3561258599220753
10.78,624.0,3996.0,0.646,6.437751649736401,2.4664031782234406
2.88046569,8.65,6072.0,1.01,2.2669579153508947,1.3559551696288508
1.53,2.96,5948.0,1.08,1.3762440252663892,0.9282193027394289
13.6,413.1769291,5255.914132507477,1.0014813828677545,6.026293247506758,2.681021528714291
11.09689089,1197.32317485,5315.0,0.92,7.088678504274472,2.4929484683454
1.58,3.12,5178.0,0.767,1.415853163361435,0.9477893989335261
13.0,1160.39151396,5075.0,13.84,7.057374146178002,2.639057329615259
14.0,230.0,5255.914132507477,1.0014813828677545,5.442417710521793,2.70805020110221
4.15,16.1,5159.0,3.062,2.8390784635086144,1.6389967146756448
1.57,3.09,5920.0,1.588,1.4085449700547104,0.9439058989071285
1.68,3.46,5631.0,0.96,1.4951487660319727,0.9858167945227653
1.05,1.16,5776.0,0.917,0.7701082216960736,0.7178397931503169
8.29466,120.7754,6179.0,1.41,4.80217836443367,2.229440041698577
3.07,9.65,3836.0,0.57,2.365559892155434,1.4036429994545037
13.8,301.93698665,3370.0,0.38,5.713524819030195,2.6946271807700692
1.33,2.33,4769.0,0.714,1.2029723039923526,0.8458682675776092
15.6926,597.5204,6060.0,1.48,6.394460609630173,2.814965507446335
1.25,2.1,4997.0,0.763,1.1314021114911006,0.8109302162163288
0.692,0.26,4991.0,0.554,0.23111172096338664,0.5259112611840315
2.9,8.75,5958.0,1.11,2.277267285009756,1.3609765531356006
0.78,0.399,5665.0,1.19,0.3357576956833441,0.5766133643039938
2.28,5.82,5215.0,0.8,1.9198594718553708,1.1878434223960523
1.65,3.36,5886.0,1.145,1.4724720573609429,0.9745596399981308
2.27,5.77,5171.0,0.8,1.9125010869241836,1.184789984909162
2.3,5.9,5055.0,0.731,1.9315214116032138,1.1939224684724346
2.98104391,9.17,5135.0,0.874,2.3194422100604686,1.3815440738493383
4.94057819,40.4,5614.0,1.5326,3.7232808808312687,1.781806467021319
2.16,5.31,5895.0,0.941,1.8421356765531218,1.1505720275988207
1.528,3.72,5615.0,0.87,1.551808799597464,0.927428476284611
18.04649,247.9074,6200.0,1.66,5.517080939747183,2.9468828326277268
2.47852533,16.6,5621.0,0.9715,2.8678989020441064,1.2466084482294175
12.5,104.0,4746.0,0.71,4.653960350157523,2.6026896854443837
21.59,3932.0,6935.0,2.35,8.27715777243181,3.1175073304799117
13.2,819.97,5605.0,1.76,6.710486567980899,2.653241964607215
13.2,845.74563,5907.0,1.128,6.741400330775204,2.653241964607215
1.27,2.15,3920.0,0.6,1.1474024528375417,0.8197798314933114
1.33,2.33,6177.0,1.359,1.2029723039923526,0.8458682675776092
3.7761677026412404,4195.3349724,5646.0,1.63,8.341966797693036,1.5636384890921824
2.39,6.3,5913.0,1.04,1.9878743481543455,1.220829921392359
6.67,36.0,5630.0,1.045,3.6109179126442243,2.0373166153791646
2.167,5.34,3770.2,0.527,1.8468787684491346,1.1527847675565026
0.87,0.59,5564.0,0.99,0.46373401623214017,0.6259384308664953
3.16,10.1,5433.0,0.869,2.4069451083182885,1.425515074273172
17.295487,233.92288,6124.0,1.254,5.459257290071765,2.9066544174117723
1.19,1.81,6050.0,1.21,1.0331844833456545,0.7839015438284094
3.17,10.17050902,5255.914132507477,1.0014813828677545,2.413277182320345,1.4279160358107101
2.34,4.5,5378.0,0.732,1.7047480922384253,1.205970806988609
14.3,143.0235,5863.0,1.053,4.9699764807056805,2.72785282839839
4.29,17.0,5447.0,0.92,2.8903717578961645,1.665818245870208
2.73,7.9,6236.0,1.19,2.186051276738094,1.3164082336557241
2.0861268,5.0,6000.0,1.126,1.791759469228055,1.1269168418849231
2.08,4.98,4861.0,0.725,1.7884205679625405,1.1249295969854831
1.48,2.79,6092.0,1.314,1.332366019094335,0.9082585601768908
13.56289,311.4734,5960.0,1.12,5.7445193455535435,2.6784765120831913
2.15,3.2,5957.0,0.91,1.4350845252893227,1.1474024528375417
1.54,2.99,5715.0,0.94,1.3837912309017721,0.9321640810304452
16.47723,159.55066,5313.0,0.871,5.078609531395961,2.8608988908509745
2.05,4.86,5684.0,1.761,1.7681496035889213,1.11514159061932
1.32,2.3,5676.0,0.93,1.1939224684724346,0.8415671856782186
1.692,3.51,4938.0,0.631,1.5062971535145868,0.9902844117824814
10.64,797.74930157,6300.0,1.474,6.683047131287607,2.454447442303292
3.32992941,11.1,6160.0,2.046,2.4932054526026954,1.465551239341095
13.4,587.9855,4826.0,4.87,6.378401565351955,2.667228206581955
1.18,1.76,5753.0,0.98,1.0152306797290587,0.7793248768009976
2.06,4.9,4687.0,0.61,1.7749523509116738,1.1184149159642893
2.8,14.9,6492.3,1.25,2.766319109226186,1.33500106673234
4.1,11.0,5322.0,0.82,2.4849066497880004,1.62924053973028
